district,district_alt,district_id,school,school_id,type,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,lat,lon
Horry County Schools,Horry 01,2601999,Socastee Middle School,2601069,M,151 Sheffield Parkway,Myrtle Beach,SC,29588,6-8,519,843-903-6051,https://www.horrycountyschools.net/socastee_middle,Lisa Melchione,34,,33.66740893905936,-78.97550490747845
Horry County Schools,Horry 01,2601999,Ten Oaks Middle School,2601070,M,150 Revolutionary War Way,Myrtle Beach,SC,29579,6-8,1066,8434888896,https://www.horrycountyschools.net/Ten_Oaks,Benjamin Prince,64,,33.75655635,-78.90214347350442
Horry County Schools,Horry 01,2601999,St. James Intermediate School Year,2601071,E,9641 Scipio Lane,Myrtle Beach,SC,29588,5-6,811,843-903-6005,https://www.horrycountyschools.net /stjamesintermediate,David Cupolo,52,,33.6401867,-79.01601143945871
Horry County Schools,Horry 01,2601999,Myrtle Beach Elementary,2601074,E,950 Seahawk Way,Myrtle Beach,SC,29577,3-5,1031,843-626-5831,horrycountyschools.net/Myrtle_Beach_Elementary,Kristie Hamilton,65,,33.71927130587483,-78.86569061172602
Horry County Schools,Horry 01,2601999,Hcs Scholars Academy High School,2601075,H,104 Chanticleer Drive East,Conway,SC,29526,9,47,843-349-4117,https://www.horrycountyschools.net/Scholar_s _Academy,Norman McQueen,13,,33.79816448216439,-79.01078126893796
Horry County Schools,Horry 01,2601999,Bridgewater Academy Charter,2601601,E,,,,0,K-8,145,,,,15,charter,48.7424164,44.5369358
Horry County Schools,Horry 01,2601999,Palmetto Academy Of Learning And Success Charter,2601602,E,3021 Fred Nash Blvd,Myrtle Beach,SC,29577,K-8,308,843-293-1725,www.palmettoacademy.com,Courtney Fancher,22,charter,33.692726,-78.94468020966633
Horry County Schools,Horry 01,2601999,Academy Of Hope Charter,2601603,E,3521 Juniper Bay Rd.,Conway,SC,29527,PK-8,137,843-397-5719,www.theacademyofhope.org,Dr. Melissa McCloud,12,charter,no_result,no_result
Horry County Schools,Horry 01,2601999,Palmetto Academy Of Learning Motorsports (Palm),2601604,H,,,,0,9-12,182,,,,13,charter,48.7424164,44.5369358
Jasper County School District,Jasper 01,2701999,Hardeeville Elementary School,2701010,E,150 Hurricane Alley,Hardeeville,SC,29927,PK-5,612,843-310-1888,https://hes.jcsd.net/,Bryan M. Jefferson,44,,no_result,no_result
Jasper County School District,Jasper 01,2701999,Ridgeland Elementary School,2701011,E,250 Jaguar Trail Unit #103,Ridgeland,SC,29936,PK-5,842,843-489-8845,https://res.jcsd.net/,Renata Johnson Green,52,,no_result,no_result
Jasper County School District,Jasper 01,2701999,Hardeeville-Ridgeland Middle School,2701012,M,150 Hurricane Alley,Hardeeville,SC,29927,6-8,545,843-310-1898,rms.jcsd.net,"Eugene Bellamy, Jr.",36,,no_result,no_result
Jasper County School District,Jasper 01,2701999,Ridgeland-Hardeeville High School,2701013,H,250 Jaguar Trail,"Ridgeland, South Carolina",SC,29936,9-12,665,843-489-8844,rhs.jcsd.net,Dr. Marlyn D. Westbrook,37,,no_result,no_result
Kershaw County School District,Kershaw 01,2801999,North Central High School,2801003,H,874 Vocational Lane,Camden,SC,29020,9-12,513,803-432-9858,https://www.kcsdschools.net/Domain/21,David  Branham Jr.,31,,no_result,no_result
Kershaw County School District,Kershaw 01,2801999,Camden High School,2801005,H,1022 Ehrenclou Drive,Camden,SC,29020,9-12,1012,8034258930,https://www.kcsdschools.net/domain/11,Lesley Corner,62,,34.2373209106242,-80.61662662395669
Kershaw County School District,Kershaw 01,2801999,Lugoff-Elgin High School,2801007,H,1284 Hwy. 1 South,Lugoff,SC,29078,9-12,1643,8034383481,https://www.kcsdschools.net/Domain/17,Corey Wright,82,,no_result,no_result
Kershaw County School District,Kershaw 01,2801999,Baron Dekalb Elementary School,2801010,E,2684 Baron DeKalb Road,Camden,SC,29020,PK-5,188,803-432-2483,,Betty Dixon Turner,13,,no_result,no_result
Kershaw County School District,Kershaw 01,2801999,Bethune Elementary,2801011,E,302 Norwood Street East,Bethune,SC,29009,PK-5,115,843-334-6278,https://www.kcsdschools.net/Domain/9,Estelle Benson,9,,34.41226564904885,-80.3421842230642
Kershaw County School District,Kershaw 01,2801999,Blaney Elementary School,2801012,E,1621 Smyrna Road,Elgin,SC,29045,PK-5,669,8034383241,https://www.kcsdschools.net/Domain/10,"Sherrill Creel until January 2021, Nicole Kirkley",41,,34.18317807648011,-80.78708561401184
Kershaw County School District,Kershaw 01,2801999,Jackson School,2801013,E,1730 Jefferson Davis Highway,Camden,SC,29020,PK-5,548,803-425-8965,https://www.kcsdschools.net/Domain/15,Estelle A. Benson,32,,34.26085355452506,-80.57208619421954
Kershaw County School District,Kershaw 01,2801999,Camden Middle School,2801014,M,902 McRae Rd,Camden,SC,29020,6-8,850,8034258975,cms.kcsdschools.com,Byron Johnson,54,,34.255531983675674,-80.58371806178386
Kershaw County School District,Kershaw 01,2801999,Camden Elementary School,2801015,E,416 Laurens Street,Camden,SC,29020,PK-5,532,803-425-8960,https://www.kcsdschools.net/ces,Matia Williams Goodwin,38,,34.2518374036255,-80.6054796348021
Kershaw County School District,Kershaw 01,2801999,Lugoff-Elgin Middle School,2801016,M,1244 HWY 1 South Lugoff-Elgin Middle School,Lugoff,SC,29078,6-8,710,803-438-3591,https://www.kcsdschools.net/Domain/18,Gene Cameron,42,,no_result,no_result
Kershaw County School District,Kershaw 01,2801999,Lugoff Elementary School,2801018,E,994 Ridgeway Road,Lugoff,SC,29078,PK-5,520,803-438-8000,les.kcsdschools.com,Dr. Melissa C. Lloyd,32,,34.22638,-80.69483
Kershaw County School District,Kershaw 01,2801999,Midway Elementary School,2801019,E,1892 US  Highway #1,Cassatt,SC,29032,PK-5,345,803-432-6122,https://www.kcsdschools.net/domain/19,Elizabeth Stehle,26,,no_result,no_result
Kershaw County School District,Kershaw 01,2801999,Mt. Pisgah Elementary,2801020,E,5160 Mt. Pisgah Rd,Kershaw,SC,29067,PK-5,149,803-475-6791,https://www.kcsdschools.net/Domain/20,Brittan R. Gardner,11,,34.55661151903984,-80.44640129441112
Kershaw County School District,Kershaw 01,2801999,Pine Tree Hill Elementary,2801021,E,938 Bishopville Highway,Camden,SC,29020,PK-5,498,803-425-8970,https://www.kcsdschools.net/Domain/23,Melissa Royalty,36,,34.237303,-80.532731
Kershaw County School District,Kershaw 01,2801999,Wateree Elementary,2801022,E,424 Wildwood Lane,Lugoff,SC,29078,PK-5,706,803-438-8018,https://www.kcsdschools.net/Domain/25,Elizabeth Gail Stehle,45,,34.213214230609786,-80.72773534621173
Kershaw County School District,Kershaw 01,2801999,Leslie M. Stover Middle School,2801023,M,1649 Smyrna Road,Elgin,SC,29045,6-8,697,803-438-7414,www.kcsdschools.net/Domain/24,Dr. L. Chantelle Baker,44,,34.18111486132779,-80.78840007806731
Kershaw County School District,Kershaw 01,2801999,Doby's Mill Elementary,2801024,E,1964 Fort Jackson Rd,Lugoff,SC,29045,PK-5,612,803-438-4055,https://www.kcsdschools.net/Domain/14,Dr. Allison Hepfner,39,,no_result,no_result
Kershaw County School District,Kershaw 01,2801999,North Central Middle School,2801025,M,805 Keys Lane,Kershaw,SC,29067,6-8,456,803-424-2740,https://www.kcsdschools.net/Domain/22,Chad Dixon,31,,34.42907303710901,-80.53052846721978
Lancaster,Lancaster 01,2901999,Buford High School,2901002,H,4290 Tabernacle Rd.,Lancaster,SC,29720,9-12,546,803-286-7068,https://bhs.lancastercsd.com/home,Michael Belk,38,,34.7607483681097,-80.62267354032981
Lancaster,Lancaster 01,2901999,A. R. Rucker Middle School,2901003,M,422 Old Dixie Road,Lancaster,SC,29720,6-8,560,803-416-8555,rms.lancastercsd.com,"Latrice ""Michelle"" Crosby",34,,34.71827343363605,-80.73661235929849
Lancaster,Lancaster 01,2901999,Indian Land High,2901006,H,8063 River Rd,Indian Land,SC,29707,9-12,1378,803-547-7571,ilhs.lancstercsd.com,David M. Shamble,78,,no_result,no_result
Lancaster,Lancaster 01,2901999,Andrew Jackson High School,2901007,H,6925 Kershaw Camden Hwy.,Kershaw,SC,29067,9-12,631,803-475-2381,https://ajhs.lancastercsd.com/,Shuntay Miller,42,,34.5140177,-80.592842
Lancaster,Lancaster 01,2901999,Lancaster High School,2901008,H,325 Woodland Drive,Lancaster,SC,29720,9-12,1358,803-283-2001,https://lhs.lancastercsd.com/,Rosalyn Mood,71,,34.72915707842811,-80.77669344228514
Lancaster,Lancaster 01,2901999,South Middle,2901010,M,1551 Billings Drive,Lancaster,SC,29720,6-8,619,803-283-8416,sms.lancastercsd.com,David Sweem,44,,34.70152155056692,-80.78134123745298
Lancaster,Lancaster 01,2901999,Brooklyn Springs Elementary,2901011,E,1637 Billings Dr.,Lancaster,SC,29720,PK-5,420,803-283-8471,https://bses.lancastercsd.com/,Michael Pratt,36,,34.69951077765713,-80.7817187019858
Lancaster,Lancaster 01,2901999,Buford Elementary School,2901012,E,1906 North Rocky River Road,Lancaster,SC,29720,PK-5,707,803-286-0026,bes.lancastercsd.com,Andrea A. Ribelin,43,,34.765230897959185,-80.62898220408162
Lancaster,Lancaster 01,2901999,North Elementary School,2901014,E,1100 Roddey Drive,Lancaster,SC,29720,PK-5,613,803-283-9918,https://www.nes.lancasterscschools.org,Rakeishea McGriff-Mickles,45,,34.734682,-80.781546
Lancaster,Lancaster 01,2901999,Clinton Elementary School,2901015,E,110 Clinton School Rd.,Lancaster,SC,29720,PK-5,487,803-285-5395,https://ces.lancastercsd.com/,Keisha Witherspoon,33,,34.72491269346734,-80.76704389949748
Lancaster,Lancaster 01,2901999,Erwin Elementary School,2901017,E,1477 Locustwood Ave,Lancaster,SC,29720,PK-5,429,803-285-8484,https://ees.lancastercsd.com/,Cory Hyslop,32,,34.69759233620693,-80.80613623402145
Lancaster,Lancaster 01,2901999,Heath Springs Elementary School,2901019,E,158 Solar Road,Heath Springs,SC,29058,PK-5,363,803-273-3176,http://hses.lancastercsd.com/,Sheri M. Watson,27,,34.602183414836425,-80.68193945385362
Lancaster,Lancaster 01,2901999,Indian Land Elementary School,2901021,E,4137 Doby's Bridge Road,Indian Land,SC,29707,K-5,1001,803.548.2916,https://iles.lancastercsd.com,Sarah Deason,62,,no_result,no_result
Lancaster,Lancaster 01,2901999,Kershaw Elementary School,2901023,E,525 North Matson Street,Kershaw,SC,29067,PK-5,514,803-475-6655,https://kes.lancastercsd.com/,Kelli P. Overcash,32,,34.55798402040816,-80.58781130612245
Lancaster,Lancaster 01,2901999,Mcdonald Green Elementary,2901024,E,2763 Lynwood Dr,Lancaster,SC,29720,K-5,347,8032857416,mges.lancaster.csd.com,Tonya Hunter,26,,34.655317709023436,-80.76549652324763
Lancaster,Lancaster 01,2901999,Andrew Jackson Middle School,2901027,M,6865 Kershaw Camden Highway,Kershaw,SC,29067,6-8,480,803-475-6021,https://ajms.lancastercsd.com/,Chris Timmons,30,,34.5140177,-80.592842
Lancaster,Lancaster 01,2901999,Buford Middle,2901028,M,1890 N. Rocky River Rd,Lancaster,SC,29720,6-8,434,803-285-8473,bms.lancastercsd.com,Sheryl H Wells,28,,34.762154490328214,-80.62947265316403
Lancaster,Lancaster 01,2901999,Indian Land Middle School,2901029,M,8361 Charlotte Highway,Indian Land,SC,29707,6-8,1279,803-578-2500,ilms.lancastercsd.com,Christopher D. Thorpe,74,,34.955133733333334,-80.8521645
Lancaster,Lancaster 01,2901999,Harrisburg Elementary School,2901030,E,10251 Harrisburg Road,Indian Land,SC,29707,K-5,968,803-396-3737,https://www.hes.lancastercsd.com,Teryn Dalton,57,,35.017375,-80.86351877025055
Lancaster,Lancaster 01,2901999,Van Wyck Elementary School,2901031,E,4945 Charlotte Highway,"Lancaster, SC",SC,29720,PK-5,702,803-313-6650,https://vwes.lancastercsd.com/home,Mr. Steven Puckett,47,,34.8558675,-80.80847956500267
Lancaster,Lancaster 01,2901999,Discovery Charter Of Lancaster,2901611,E,302 West Dunlap Street,"Lancaster, SC",SC,29720,K-5,104,803-285-8430,dis.lancastercsd.com,Thomas McDuffie,6,charter,34.71888652070429,-80.77382094342038
Laurens County School District 55,Laurens 55,3055999,Laurens District 55 High School,3055004,H,5058 HIGHWAY 76 W,LAURENS,SC,29360,9-12,1485,864-682-3151,https://www.ldhsraiders.org/,Tina Faulkner,96,,34.502565649999994,-82.06747693420911
Laurens County School District 55,Laurens 55,3055999,Laurens Middle School,3055005,M,1035 West Main Street,Laurens,SC,29360,6-8,435,864-984-2400,https://www.laurensmiddle.org/en-US,Lewis Compton,28,,34.49413165,-82.04029074453834
Laurens County School District 55,Laurens 55,3055999,Ford Elementary School,3055006,E,601 Lucas Avenue,Laurens,SC,29360,PK-5,433,864-984-3986,https://www.fordschool.org/,Zakaria Watson,33,,34.520944,-81.996457
Laurens County School District 55,Laurens 55,3055999,E. B. Morse Elementary School,3055010,E,200 Parkview Drive,Laurens,SC,29360,PK-5,450,(864-984-7777),https://www.ebmorse.org/,Dr. Jason Bailey,30,,34.491728699999996,-82.038327506521
Laurens County School District 55,Laurens 55,3055999,Laurens Elementary School,3055011,E,301 Henry St.,Laurens,SC,29360,PK-5,523,864-984-3067,https://www.laurensel.org/en-US,Randy Dendy,43,,34.515286450000005,-82.03923802282836
Laurens County School District 55,Laurens 55,3055999,Sanders Middle School,3055013,M,609 Green Street,Laurens,SC,29360,6-8,390,864-984-0354,https://www.sandersmiddle.org/en-US,James Reid,29,,34.4899847,-82.00796821813802
Laurens County School District 55,Laurens 55,3055999,Waterloo Elementary,3055014,E,10457 Hwy 221 S,Waterloo,SC,29384,PK-5,247,864-677-4670,waterlooschool.org,"Farrell C. Thomas, Sr.",19,,34.3524227,-82.0584114
Laurens County School District 55,Laurens 55,3055999,Gray Court-Owings Elementary/Middle School,3055016,E,9210 Hwy 14,Gray Court,SC,29645,PK-8,741,8648762131,www.gcoschool.org,Kim Penland,57,,34.61995415,-82.12217818668071
Laurens County School District 55,Laurens 55,3055999,Hickory Tavern Elementary/Middle School,3055017,E,163 Neely Ferry Road,Gray Court,SC,29645,PK-8,629,8645752126,www.htem.org,Brandon Garrett Addy,47,,34.5185377,-82.18569270451576
Laurens County School District 56,Laurens 56,3056999,Clinton High School,3056016,H,18132 Hwy 72,Clinton,SC,29325,9-12,882,864-833-0817,chs.lcsd56.org,Martha Brothers,54,,34.4851338,-81.85378191391155
Laurens County School District 56,Laurens 56,3056999,Clinton Middle School,3056017,M,800 North Adair Street,Clinton,SC,29325,6-8,637,864-833-0807,https://cms.lcsd56.org/,Jeff Parks,43,,34.4812007,-81.86342174229775
Laurens County School District 56,Laurens 56,3056999,Clinton Elementary School,3056019,E,800 Chestnut Street,Clinton,SC,29325,K-5,458,864-833-0812,https://ces.lcsd56.org/en-US,Melodie Edwards,35,,34.453744549999996,-81.8837625288337
Laurens County School District 56,Laurens 56,3056999,Joanna-Woodson Elementary,3056022,E,510 South Ellis St.,Joanna,SC,29351,K-5,299,864-697-6480,https://jwes.lcsd56.org/,"George E. Marshall, Jr.",22,,34.4052342,-81.81132483697125
Laurens County School District 56,Laurens 56,3056999,Eastside Elementary,3056023,E,103 OLD COLONY RD,CLINTON,SC,29325,K-5,451,8648330827,https://ees.lcsd56.org/,Tanya Wilson,32,,34.4666943,-81.85471637064043
Lee County School District,Lee 01,3101999,Dennis Es,3101007,E,321 Roland St,Bishopville,SC,29010,PK-5,390,8034831005,https://leebps.leeschooldistrictsc.org/,LaToya Boyd,20,,34.22607403597447,-80.25149587322743
Lee County School District,Lee 01,3101999,Lower Lee Elementary,3101011,E,5142 St. Charles Road,"Mayesville SC,",SC,29104,PK-5,169,803-428-3637,https://leelle.leeschooldistrictsc.org/,Shelia Gamble Stukes,13,,no_result,no_result
Lee County School District,Lee 01,3101999,West Lee Elementary School,3101012,E,55 West Lee School Road,Rembert,SC,29128,PK-5,123,8034283147,https://leewle.leeschooldistrictsc.org/,Dr. Veronica K. Bradley,7,,no_result,no_result
Lee County School District,Lee 01,3101999,Lee Central High School,3101013,H,1800 Wisacky Highway,Bishopville,SC,29010,9-12,513,8034284010,https://leelchs.leeschooldistrictsc.org/,Baron M. Turner,21,,34.19584032750098,-80.2152813547702
Lee County School District,Lee 01,3101999,Lee Central Middle School,3101015,M,41 Charlene Lane,Bishopville,SC,29010,6-8,370,803-428-2100,leelcms.leeschooldistrictsc.org/,Patrice D. Holmes,13,,no_result,no_result
Lexington County School District One,Lexington 01,3201999,Gilbert High School,3201001,H,840 Main Street,Gilbert,SC,29054,9-12,1067,803-821-1900,https://schools.lexington1.net/GHS,Jacob Nelson,72,,33.91432345729713,-81.39439554691822
Lexington County School District One,Lexington 01,3201999,Lexington High School,3201003,H,2463 Augusta Hwy,Lexington,SC,29072,9-12,2202,803-821-3400,https://schools.lexington1.net/LHS,Dr. Ryan Pool,138,,33.977082949999996,-81.30585807552916
Lexington County School District One,Lexington 01,3201999,Pelion High School,3201004,H,600 Lydia Drive,Pelion,SC,29073,9-12,707,803-821-2237,Phs.lexington1.net,Bryan Hearn,53,,33.761378,-81.252878
Lexington County School District One,Lexington 01,3201999,Gilbert Elementary School,3201005,E,520 Main Street,Gilbert,SC,29054,PK-5,794,803-821-1600,https://schools.lexington1.net/GES,Will Moody,63,,33.9208294,-81.3935211
Lexington County School District One,Lexington 01,3201999,Lexington Elementary School,3201007,E,116 Azalea Dr.,LEXINGTON,SC,29072,PK-5,631,8038214000,https://schools.lexington1.net/LES,Timothy Carnahan,45,,33.98707758291385,-81.23129847462637
Lexington County School District One,Lexington 01,3201999,Pelion Elementary School,3201008,E,1202 Pine Street,Pelion,SC,29123,PK-5,589,(803) 821-2000,https://schools.lexington1.net/PES,Deborah Rodgers Poole,52,,33.75090674161074,-81.25616745637583
Lexington County School District One,Lexington 01,3201999,Oak Grove Elementary School,3201009,E,479 Oak Drive,Lexington,SC,29073,PK-5,672,803-821-0100,https://schools.lexington1.net/OGES,Christy M. Graham,48,,33.984298142776375,-81.15584268995316
Lexington County School District One,Lexington 01,3201999,Lexington Middle School,3201010,M,702 N Lake Drive ,Lexington,SC,29072,6-8,596,8038213700,https://schools.lexington1.net/LMS,Casey Calhoun,44,,33.9896268,-81.2336096
Lexington County School District One,Lexington 01,3201999,Red Bank Elementary School,3201011,E,246 Community Drive,Lexington,SC,29073,PK-5,499,803-821-4600,https://schools.lexington1.net/RBES,Janet B. Ricard,47,,33.93881545,-81.22816990851264
Lexington County School District One,Lexington 01,3201999,White Knoll Elementary,3201049,E,132 White Knoll Way,West Columbia,SC,29170,PK-5,669,803-821-4500,https://schools.lexington1.net/WKES,Nicole Mitchell,48,,33.94241475,-81.18888640287685
Lexington County School District One,Lexington 01,3201999,Saxe Gotha Elementary School,3201052,E,100 Bill Williamson Ct Saxe Gotha Elementary School,Lexington,SC,29073,PK-5,693,803-821-4800,https://schools.lexington1.net/SGES,Elizabeth Houck,55,,no_result,no_result
Lexington County School District One,Lexington 01,3201999,White Knoll Middle,3201053,M,116 White Knoll Way,West Columbia,SC,29170,6-8,813,803-821-4300,https://schools.lexington1.net/WKMS,Don Hardie,62,,33.944816700000004,-81.19022205896815
Lexington County School District One,Lexington 01,3201999,Gilbert Middle,3201054,M,120 Rikard Circle,Gilbert,SC,29054,6-8,846,803-821-1700,schools.lexington1.net/GMS,Benjamin Ricard,62,,33.91848464918846,-81.39256366968364
Lexington County School District One,Lexington 01,3201999,Midway Elementary School,3201055,E,180 Midway Road,Lexington,SC,29072,PK-5,899,803-821-0300,https://schools.lexington1.net/MES,Janet M. Fickling,64,,34.022139,-81.20911
Lexington County School District One,Lexington 01,3201999,Lake Murray Elementary,3201056,E,205 Wise Ferry Road,Lexington,SC,29072,K-4,808,(803) 821-3100,https://schools.lexington1.net/LMES,Jennifer Stanley,55,,33.986264728485985,-81.29018678636271
Lexington County School District One,Lexington 01,3201999,White Knoll High School,3201057,H,5643 Platt Springs Road,Lexington,SC,29073,9-12,2128,803-821-5200,schools.lexington1.net/WKHS,Edward L. Daughtrey,132,,33.90450335,-81.23232169268735
Lexington County School District One,Lexington 01,3201999,Pelion Middle School,3201058,M,325 Main Street,Pelion,SC,29123,6-8,520,803-821-2300,https://schools.lexington1.net/PMS,Kailanya S. Brailey,47,,33.764859,-81.248208
Lexington County School District One,Lexington 01,3201999,Pleasant Hill Elementary School,3201060,E,664 Rawl Road,Lexington,SC,29072,PK-5,923,803-821-2800,http://phes.lexington1.net/,Margaret B. Mitchum,62,,33.958585472148194,-81.29442641616295
Lexington County School District One,Lexington 01,3201999,Pleasant Hill Middle School,3201061,M,660 Rawl Road,Lexington,SC,29072,6-8,760,803-821-2700,https://schools.lexington1.net/PHMS,Julie Painter,52,,33.9585800532006,-81.29461547722343
Lexington County School District One,Lexington 01,3201999,Carolina Springs Elementary School,3201062,E,6340 Platt Springs Road,Lexington,SC,29073,PK-5,826,803-821-5100,https://schools.lexington1.net/CSES,Todd C. Brown,54,,33.88867085,-81.26598360009305
Lexington County School District One,Lexington 01,3201999,Carolina Springs Middle School,3201063,M,6180 Platt Springs Road,Lexington,SC,29073,6-8,877,803-821-4900,https://schools.lexington1.net/CSMS,BRICE COCKFIELD,69,,33.895297400000004,-81.25906757371482
Lexington County School District One,Lexington 01,3201999,Forts Pond Elementary,3201064,E,7350 Fish Hatchery Road,Pelion,SC,29123,K-5,524,803-821-2500,https://schools.lexington1.net/FPES,Michelle L Smith,40,,33.77834685,-81.24075967575813
Lexington County School District One,Lexington 01,3201999,New Providence Elementary School,3201065,E,1118 Old Cherokee Road,Lexington,SC,29072,K-5,690,803-821-3300,https://schools.lexington1.net/NPES,Robert Candillo,44,,34.009645,-81.26306
Lexington County School District One,Lexington 01,3201999,Rocky Creek Elementary School,3201066,E,"430 Calks Ferry Rd., Lexington SC 29072",Lexington,SC,29072,PK-5,854,803-821-4200,https://schools.lexington1.net/RCES,Gregory W Watchinski,55,,no_result,no_result
Lexington County School District One,Lexington 01,3201999,Meadow Glen Elementary School,3201067,E,510 Ginny Lane,Lexington,SC,29072,K-5,839,803-821-0400,mges@lexington1.net,Jennifer McNair,63,,34.0043288104536,-81.16704648255212
Lexington County School District One,Lexington 01,3201999,Meadow Glen Middle School,3201068,M,440 Ginny Lane,Lexington,SC,29072,6-8,1017,8036004160,www.lexington1.net,Dr. Bill Coon,74,,34.00529229181401,-81.16464912578347
Lexington County School District One,Lexington 01,3201999,River Bluff High School,3201069,H,320 Corley Mill Road,Lexington,SC,29072,9-12,2171,803-821-0701,https://schools.lexington1.net/RBHS ,Dr. Lucas C. Clamp,130,,34.02794505,-81.15283997840345
Lexington County School District One,Lexington 01,3201999,Deerfield Elementary School,3201070,E,638 Longs Pond Road,Lexington,SC,29073,PK-5,748,803-821-5500,https://schools.lexington1.net/DES,Janet Malone,56,,33.9077517100156,-81.28776472243634
Lexington County School District One,Lexington 01,3201999,Beechwood Middle School,3201071,M,1340 Hwy. 378 ,Lexington,SC,29072,6-8,998,803-821-5700,bms.lexington1.net,Gloria Jenkinson,63,,33.9852162,-81.2692219
Lexington County School District One,Lexington 01,3201999,Centerville Elementary School,3201072,E,4147 Augusta Highway,Gilbert,SC,29054,PK-5,712,803-821-5900,https://schools.lexington1.net/CES,P. Heath Branham,57,,33.9625271,-81.39246681469726
Lexington School District Two,Lexington 02,3202999,Airport High School,3202009,H,1315 Boston Avenue,West Columbia,SC,29170,9-12,1337,803-822-5600,https://ahs.lex2.org/,Chris Earl,73,,no_result,no_result
Lexington School District Two,Lexington 02,3202999,Brookland-Cayce High School,3202011,H,1300 State Street,Cayce,SC,29033,9-12,1075,803-791-5000,bchs.lex2.org,Gregory L. Morton,81,,33.98214815,-81.05731464616842
Lexington School District Two,Lexington 02,3202999,R.H. Fulmer Middle School,3202012,M,1614 Walterboro Street,West Columbia,SC,29170,6-8,666,8032406441,fms.lex2.org,Megan Carrero,46,,33.9501128,-81.10855714071553
Lexington School District Two,Lexington 02,3202999,Busbee Creative Arts Academy,3202017,M,501 Bulldog Blvd.,Cayce,SC,29033,6-8,431,803-739-4070,BCAA.lex2.org,Stephanie Hucks,32,,33.954279,-81.051602
Lexington School District Two,Lexington 02,3202999,Congaree Elementary School,3202019,E,1221 Ramblin Road,West Columbia,SC,29172,2-5,406,803-755-7430,https://congaree.lex2.org/,Christopher Dickey,31,,no_result,no_result
Lexington School District Two,Lexington 02,3202999,Northside Middle School,3202020,M,157 Cougar Drive,West Columbia,SC,29168,6-8,595,803-739-4190,nms.lex2.org,Matt Schilit,44,,33.999841442245526,-81.09695180008079
Lexington School District Two,Lexington 02,3202999,Saluda River Academy For The Arts,3202023,E,1520 Duke Street,West Columbia,SC,29016,K-5,267,803-739-4095,https://sraa.lex2.org,"Jim LeBlanc, Jr.",27,,34.00101706122449,-81.08548448979592
Lexington School District Two,Lexington 02,3202999,Springdale Elementary,3202024,E,361 Wattling Road,West Columbia,SC,29170,PK-5,373,803-739-4175,https://springdale.lex2.org,Hope Vrana,30,,33.96493155,-81.12167190013324
Lexington School District Two,Lexington 02,3202999,Pine Ridge Middle School,3202026,M,735 Pine Ridge Drive,West Columbia,SC,29172,6-8,476,803-755-7400,http://prms.lex2.org/,"David V. Basile, Ed.D.",34,,no_result,no_result
Lexington School District Two,Lexington 02,3202999,Herbert A. Wood Elementary School,3202027,E,739 Pineridge Dr.,West Columbia,SC,29172,PK-5,913,803-755-7474/8,https://wood.lex2.org/,Leonard Frierson,70,,no_result,no_result
Lexington School District Two,Lexington 02,3202999,Cayce Elementary School,3202029,E,515 Bulldog Blvd ,Cayce,SC,29033,PK-5,987,803-936-5500,https://cayce.lex2.org/,Andrew D Drozdak,72,,33.9536164546652,-81.05163752044288
Lexington School District Two,Lexington 02,3202999,Riverbank Elementary,3202030,E,160 Cougar Drive,West Columbia,SC,29169,PK-5,1056,8039363400,riverbank.lex2.org,David Sims,76,,33.999880943083895,-81.09694142835227
Lexington County School District Three,Lexington 03,3203999,Batesburg-Leesville High School,3203026,H,600 Summerland Avenue,Batesburg-Leesville,SC,29006,9-12,548,803-532-9251,https://blhs.lex3.org/o/blhs,Sonya M. Bryant,41,,33.921533,-81.535892
Lexington County School District Three,Lexington 03,3203999,Batesburg-Leesville Elementary School,3203028,E,403 S Lee Street,Batesburg-Leesville,SC,29070,3-5,491,(803) 532-1155,https://bles.lex3.org/,Matt Velasquez,41,,33.914471,-81.512494
Lexington County School District Three,Lexington 03,3203999,Batesburg-Leesville Middle School,3203029,M,425 Shealy Road,Batesburg-Leesville,SC,29006,6-8,483,(803) 532-3831,https://blms.lex3.org/,Sharah Clark,33,,33.903115,-81.521388
Lexington School District Four,Lexington 04,3204999,Swansea High School,3204034,H,500 East First Street,Swansea,SC,29160,9-12,887,803-490-7007,https://www.lex4.org/shs,Marcia Seawright,54,,no_result,no_result
Lexington School District Four,Lexington 04,3204999,Frances Mack Intermediate School,3204035,E,161 Gaston Street,Gaston,SC,29053,5-6,506,8034907004,https://www.lex4.org/fmis,Bryan Evans,37,,33.820797,-81.094466
Lexington School District Four,Lexington 04,3204999,Sandhills Middle School- Lexington School District Four,3204036,M,582 Meadowfield Rd,Gaston,SC,29053,7-8,499,803-490-7005,https://www.lex4.org/SMS,Brad Coleman,35,,33.811074,-81.130319
Lexington School District Four,Lexington 04,3204999,Sandhills Elementary,3204039,E,130 Lewis Rast Road,Swansea,SC,29160,3-4,499,803-490-7003,https://www.lex4.org/SES,Patty Carter,30,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Chapin High School,3205038,H,300 Columbia Avenue,Chapin,SC,29036,9-12,1549,803.575.5400,https://www.lexrich5.org/chs,Michael Ames,88,,34.167842622765036,-81.3413823619504
